time,plant_id,plant_name,plant_code,inverter_id,inverter_name,inverter_brand,inverter_model,inverter_nominal_power_kw,power_kw,energy_kwh,intensity_cc_a,intensity_ca_a,voltage_cc_v,voltage_ca_v,uptime_h,temperature_c,readings
2022-11-09 14:15:00+01,1,Alcolea,SomEnergia_Alcolea,17,inversor2,NULL,NULL,NULL,108.42,550.8,NULL,NULL,NULL,NULL,28304.0,42,1.0
2022-11-09 14:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,28,inversor7,NULL,NULL,NULL,28.8,149.97,NULL,NULL,NULL,NULL,15556.0,NULL,1.0
2022-11-09 14:15:00+01,6,Florida,SomEnergia_La_Florida,21,inversor2,NULL,NULL,NULL,0.0,4208501.1,NULL,NULL,NULL,NULL,13400.0,60,1.0
2022-11-09 14:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,22,inversor1,NULL,NULL,NULL,28.2,143.67,NULL,NULL,NULL,NULL,2571.0,NULL,1.0
2022-11-09 14:10:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,22,inversor1,NULL,NULL,NULL,19.98,141.11,NULL,NULL,NULL,NULL,2570.0,NULL,1.0
2022-11-09 14:10:00+01,6,Florida,SomEnergia_La_Florida,21,inversor2,NULL,NULL,NULL,0.0,4208468.5,NULL,NULL,NULL,NULL,13400.0,60,1.0
2022-11-09 14:10:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,28,inversor7,NULL,NULL,NULL,21.74,147.4,NULL,NULL,NULL,NULL,15556.0,NULL,1.0
2022-11-09 14:10:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,27,inversor6,NULL,NULL,NULL,21.32,144.61,NULL,NULL,NULL,NULL,16607.0,NULL,1.0
2022-11-09 14:10:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,26,inversor5,NULL,NULL,NULL,21.64,145.62,NULL,NULL,NULL,NULL,16580.0,NULL,1.0
2022-11-09 14:10:00+01,1,Alcolea,SomEnergia_Alcolea,17,inversor2,NULL,NULL,NULL,353.77,526.7,NULL,NULL,NULL,NULL,28304.0,42,1.0
2022-11-09 14:10:00+01,1,Alcolea,SomEnergia_Alcolea,16,inversor1,NULL,NULL,NULL,0.0,544.8,NULL,NULL,NULL,NULL,28298.0,21,1.0
2022-11-09 14:10:00+01,7,Matallana,SomEnergia_Exiom,30,inversor3,NULL,NULL,NULL,262.48,547.2,NULL,NULL,NULL,NULL,18378.0,42,1.0
2022-11-09 14:10:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,25,inversor4,NULL,NULL,NULL,21.79,149.24,NULL,NULL,NULL,NULL,15785.0,NULL,1.0
2022-11-09 14:10:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,23,inversor2,NULL,NULL,NULL,21.01,145.73,NULL,NULL,NULL,NULL,16617.0,NULL,1.0
2022-11-09 14:10:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,24,inversor3,NULL,NULL,NULL,20.4,144.0,NULL,NULL,NULL,NULL,16624.0,NULL,1.0
2022-11-09 14:10:00+01,7,Matallana,SomEnergia_Exiom,33,inversor2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-11-09 14:10:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,29,inversor8,NULL,NULL,NULL,21.52,143.08,NULL,NULL,NULL,NULL,16354.0,NULL,1.0
2022-11-09 02:10:00+01,6,Florida,SomEnergia_La_Florida,20,inversor1,NULL,NULL,NULL,0.0,4132091.0,NULL,NULL,NULL,NULL,13379.0,60,1.0
2022-11-09 14:10:00+01,1,Alcolea,SomEnergia_Alcolea,18,inversor3,NULL,NULL,NULL,157.29,547.6,NULL,NULL,NULL,NULL,28210.0,42,1.0
2022-11-09 14:10:00+01,1,Alcolea,SomEnergia_Alcolea,19,inversor4,NULL,NULL,NULL,131.46,526.8,NULL,NULL,NULL,NULL,28258.0,42,1.0
2022-11-09 14:10:00+01,7,Matallana,SomEnergia_Exiom,31,inversor4,NULL,NULL,NULL,291.66,547.1,NULL,NULL,NULL,NULL,18344.0,42,1.0
2022-11-09 14:10:00+01,7,Matallana,SomEnergia_Exiom,32,inversor1,NULL,NULL,NULL,0,545.5,NULL,NULL,NULL,NULL,17877.0,42,1.0
2022-11-09 14:05:00+01,7,Matallana,SomEnergia_Exiom,32,inversor1,NULL,NULL,NULL,0,526.8,NULL,NULL,NULL,NULL,17877.0,42,1.0
2022-11-09 14:05:00+01,7,Matallana,SomEnergia_Exiom,31,inversor4,NULL,NULL,NULL,192.64,526.8,NULL,NULL,NULL,NULL,18344.0,42,1.0
2022-11-09 14:05:00+01,1,Alcolea,SomEnergia_Alcolea,19,inversor4,NULL,NULL,NULL,182.01,513.1,NULL,NULL,NULL,NULL,28258.0,42,1.0
2022-11-09 02:05:00+01,6,Florida,SomEnergia_La_Florida,20,inversor1,NULL,NULL,NULL,0.0,4132065.5,NULL,NULL,NULL,NULL,13379.0,60,1.0
2022-11-09 14:05:00+01,1,Alcolea,SomEnergia_Alcolea,18,inversor3,NULL,NULL,NULL,344.25,531.8,NULL,NULL,NULL,NULL,28210.0,42,1.0
2022-11-09 14:05:00+01,7,Matallana,SomEnergia_Exiom,33,inversor2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-11-09 14:05:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,24,inversor3,NULL,NULL,NULL,43.09,140.1,NULL,NULL,NULL,NULL,16624.0,NULL,1.0
2022-11-09 14:05:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,25,inversor4,NULL,NULL,NULL,42.44,145.44,NULL,NULL,NULL,NULL,15785.0,NULL,1.0
2022-11-09 14:05:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,23,inversor2,NULL,NULL,NULL,39.87,141.88,NULL,NULL,NULL,NULL,16617.0,NULL,1.0
2022-11-09 14:05:00+01,7,Matallana,SomEnergia_Exiom,30,inversor3,NULL,NULL,NULL,208.97,528.2,NULL,NULL,NULL,NULL,18378.0,42,1.0
